Collatz(1) = 0, Time taken: 5µs
Collatz(2) = 1, Time taken: 16.9µs
Collatz(3) = 7, Time taken: 7.2µs
Collatz(4) = 2, Time taken: 1.2µs
Collatz(5) = 5, Time taken: 900ns
Collatz(6) = 8, Time taken: 5.3µs
Collatz(7) = 16, Time taken: 13.5µs
Collatz(8) = 3, Time taken: 600ns
Collatz(9) = 19, Time taken: 2.8µs
Collatz(10) = 6, Time taken: 1µs
Collatz(11) = 14, Time taken: 1µs
Collatz(12) = 9, Time taken: 1.9µs
Collatz(13) = 9, Time taken: 500ns
Collatz(14) = 17, Time taken: 1.2µs
Collatz(15) = 17, Time taken: 25.4µs
Collatz(16) = 4, Time taken: 600ns
Collatz(17) = 12, Time taken: 1µs
Collatz(18) = 20, Time taken: 2.7µs
Collatz(19) = 20, Time taken: 5.9µs
Collatz(20) = 7, Time taken: 600ns
Collatz(21) = 7, Time taken: 3µs
Collatz(22) = 15, Time taken: 1.3µs
Collatz(23) = 15, Time taken: 800ns
Collatz(24) = 10, Time taken: 1.9µs
Collatz(25) = 23, Time taken: 3.3µs
Collatz(26) = 10, Time taken: 1.1µs
Collatz(27) = 111, Time taken: 111.7µs
Collatz(28) = 18, Time taken: 500ns
Collatz(29) = 18, Time taken: 300ns
Collatz(30) = 18, Time taken: 900ns
Collatz(31) = 106, Time taken: 300ns
Collatz(32) = 5, Time taken: 1µs
Collatz(33) = 26, Time taken: 2.3µs
Collatz(34) = 13, Time taken: 400ns
Collatz(35) = 13, Time taken: 400ns
Collatz(36) = 21, Time taken: 900ns
Collatz(37) = 21, Time taken: 3µs
Collatz(38) = 21, Time taken: 300ns
Collatz(39) = 34, Time taken: 6.8µs
Collatz(40) = 8, Time taken: 400ns
Collatz(41) = 109, Time taken: 300ns
Collatz(42) = 8, Time taken: 1.8µs
Collatz(43) = 29, Time taken: 5.1µs
Collatz(44) = 16, Time taken: 300ns
Collatz(45) = 16, Time taken: 1.9µs
Collatz(46) = 16, Time taken: 1.1µs
Collatz(47) = 104, Time taken: 400ns
Collatz(48) = 11, Time taken: 1.1µs
Collatz(49) = 24, Time taken: 300ns
Collatz(50) = 24, Time taken: 400ns
Collatz(51) = 24, Time taken: 4.2µs
Collatz(52) = 11, Time taken: 300ns
Collatz(53) = 11, Time taken: 400ns
Collatz(54) = 112, Time taken: 900ns
Collatz(55) = 112, Time taken: 4.7µs
Collatz(56) = 19, Time taken: 1µs
Collatz(57) = 32, Time taken: 2.1µs
Collatz(58) = 19, Time taken: 400ns
Collatz(59) = 32, Time taken: 400ns
Collatz(60) = 19, Time taken: 900ns
Collatz(61) = 19, Time taken: 1µs
Collatz(62) = 107, Time taken: 400ns
Collatz(63) = 107, Time taken: 7.5µs
Collatz(64) = 6, Time taken: 300ns
Collatz(65) = 27, Time taken: 1µs
Collatz(66) = 27, Time taken: 1.2µs
Collatz(67) = 27, Time taken: 300ns
Collatz(68) = 14, Time taken: 400ns
Collatz(69) = 14, Time taken: 1.9µs
Collatz(70) = 14, Time taken: 1µs
Collatz(71) = 102, Time taken: 300ns
Collatz(72) = 22, Time taken: 1.1µs
Collatz(73) = 115, Time taken: 2.3µs
Collatz(74) = 22, Time taken: 300ns
Collatz(75) = 14, Time taken: 10.3µs
Collatz(76) = 22, Time taken: 900ns
Collatz(77) = 22, Time taken: 900ns
Collatz(78) = 35, Time taken: 1.6µs
Collatz(79) = 35, Time taken: 59.8µs
Collatz(80) = 9, Time taken: 1.1µs
Collatz(81) = 22, Time taken: 1.1µs
Collatz(82) = 110, Time taken: 400ns
Collatz(83) = 110, Time taken: 400ns
Collatz(84) = 9, Time taken: 2.7µs
Collatz(85) = 9, Time taken: 1.1µs
Collatz(86) = 30, Time taken: 700ns
Collatz(87) = 30, Time taken: 4.6µs
Collatz(88) = 17, Time taken: 400ns
Collatz(89) = 30, Time taken: 1.4µs
Collatz(90) = 17, Time taken: 1.5µs
Collatz(91) = 92, Time taken: 400ns
Collatz(92) = 17, Time taken: 400ns
Collatz(93) = 17, Time taken: 2µs
Collatz(94) = 105, Time taken: 1µs
Collatz(95) = 105, Time taken: 400ns
Collatz(96) = 12, Time taken: 1.1µs
Collatz(97) = 118, Time taken: 2.1µs
Collatz(98) = 25, Time taken: 1.1µs
Collatz(99) = 25, Time taken: 3.3µs
Collatz(100) = 25, Time taken: 400ns
